hardware,testbench,case,shape,max_diff,software_cycles,hardware_cycles,speedup
vasat,tinybert,2,seq=128 d_model=128 heads=4 head_dim=32 hidden=256 layers=1 vocab=512 classes=2,0.00073,589716427,421721866,1.39
vasat,tinybert,3,seq=256 d_model=256 heads=4 head_dim=64 hidden=256 layers=1 vocab=512 classes=2,0.00146,4374546638,3172590000,1.37
vasat,tinybert,4,seq=512 d_model=256 heads=4 head_dim=64 hidden=256 layers=1 vocab=512 classes=2,0.00292,11208205007,6353330653,1.76
vasat,tinybert,5,seq=512 d_model=512 heads=8 head_dim=64 hidden=512 layers=1 vocab=512 classes=2,0.00061,35298738657,25458402319,1.38
kucuk,tinybert,0,seq=32 d_model=64 heads=4 head_dim=16 hidden=256 layers=1 vocab=512 classes=2,0.00677,38832080,9148223,4.24
kucuk,tinybert,1,seq=64 d_model=128 heads=4 head_dim=32 hidden=256 layers=1 vocab=512 classes=2,0.00146,250946963,45901846,5.46
kucuk,tinybert,2,seq=128 d_model=128 heads=4 head_dim=32 hidden=256 layers=1 vocab=512 classes=2,0.00988,585069723,156856774,3.72
kucuk,tinybert,3,seq=256 d_model=256 heads=4 head_dim=64 hidden=256 layers=1 vocab=512 classes=2,0.02246,4338873389,1008916405,4.30
kucuk,tinybert,4,seq=512 d_model=256 heads=4 head_dim=64 hidden=256 layers=1 vocab=512 classes=2,0.03222,11065782442,3899444485,2.83
minik,tinybert,0,seq=32 d_model=64 heads=4 head_dim=16 hidden=256 layers=1 vocab=512 classes=2,0.00048,37938791,36131222,1.05
minik,tinybert,1,seq=64 d_model=128 heads=4 head_dim=32 hidden=256 layers=1 vocab=512 classes=2,0.00036,243296013,236889520,1.02
minik,tinybert,2,seq=128 d_model=128 heads=4 head_dim=32 hidden=256 layers=1 vocab=512 classes=2,0.00048,554190263,530075352,1.04
minik,tinybert,3,seq=256 d_model=256 heads=4 head_dim=64 hidden=256 layers=1 vocab=512 classes=2,0.00244,4089416768,4029164933,1.01
minik,tinybert,4,seq=512 d_model=256 heads=4 head_dim=64 hidden=256 layers=1 vocab=512 classes=2,0.00292,10068160080,9806398709,1.02
minik,tinybert,5,seq=512 d_model=512 heads=8 head_dim=64 hidden=512 layers=1 vocab=512 classes=2,0.00061,33019115477,32359957590,1.02
