config,workload,case,name,case_label,shape,case_key,status,cpu_cycles,hw_cycles,speedup,speedup_x100,mismatches,source
4x4,matmul-benchmark,6,matmul_m64_n16_k64_rng,M64 N16 K64,M=64 N=16 K=64,M=64 N=16 K=64,PASS,1143222,96007,11.907694230629017,1191,0,software/uartlog/atik_4x4/matmul.txt
4x4,matmul-benchmark,7,matmul_m64_n64_k64_rng,M64 N64 K64,M=64 N=64 K=64,M=64 N=64 K=64,PASS,4556821,380733,11.968547512298645,1197,0,software/uartlog/atik_4x4/matmul.txt
4x4,attention-benchmark,0,attention_q2_kv2_d2_v2_zero_scores,Q2 KV2 D2 V2,q=2 kv=2 d=2 value=2 causal=0,q=2 kv=2 d=2 value=2 causal=0,PASS,4263,269,15.847583643122677,1585,0,software/uartlog/atik_4x4/attn.txt
4x4,attention-benchmark,1,attention_q4_kv4_d4_v4_rng,Q4 KV4 D4 V4,q=4 kv=4 d=4 value=4 causal=0,q=4 kv=4 d=4 value=4 causal=0,PASS,23660,545,43.41284403669725,4341,0,software/uartlog/atik_4x4/attn.txt
4x4,attention-benchmark,2,causal_attention_q4_kv4_d4_v4_rng,Causal Q4 KV4 D4 V4,q=4 kv=4 d=4 value=4 causal=1,q=4 kv=4 d=4 value=4 causal=1,PASS,14932,553,27.001808318264015,2700,0,software/uartlog/atik_4x4/attn.txt
4x4,attention-benchmark,3,attention_q8_kv8_d8_v8_rng,Q8 KV8 D8 V8,q=8 kv=8 d=8 value=8 causal=0,q=8 kv=8 d=8 value=8 causal=0,PASS,194571,3228,60.276022304832715,6028,0,software/uartlog/atik_4x4/attn.txt
4x4,attention-benchmark,4,attention_q16_kv16_d16_v16_rng,Q16 KV16 D16 V16,q=16 kv=16 d=16 value=16 causal=0,q=16 kv=16 d=16 value=16 causal=0,PASS,1899932,32678,58.14101230185446,5814,0,software/uartlog/atik_4x4/attn.txt
4x4,attention-benchmark,5,causal_attention_q16_kv16_d16_v16_rng,Causal Q16 KV16 D16 V16,q=16 kv=16 d=16 value=16 causal=1,q=16 kv=16 d=16 value=16 causal=1,PASS,1039543,32656,31.83313939245468,3183,0,software/uartlog/atik_4x4/attn.txt
4x4,attention-benchmark,6,attention_q32_kv32_d32_v32_rng,Q32 KV32 D32 V32,q=32 kv=32 d=32 value=32 causal=0,q=32 kv=32 d=32 value=32 causal=0,PASS,21266315,410708,51.77964636676179,5178,0,software/uartlog/atik_4x4/attn.txt
4x4,attention-benchmark,7,attention_q64_kv64_d64_v64_rng,Q64 KV64 D64 V64,q=64 kv=64 d=64 value=64 causal=0,q=64 kv=64 d=64 value=64 causal=0,PASS,270204774,5777570,46.76789272998856,4677,0,software/uartlog/atik_4x4/attn.txt
4x4,attention-benchmark,8,attention_q128_kv128_d128_v128_rng,Q128 KV128 D128 V128,q=128 kv=128 d=128 value=128 causal=0,q=128 kv=128 d=128 value=128 causal=0,PASS,3795601090,86286651,43.98827681931937,4399,0,software/uartlog/atik_4x4/attn.txt
4x4,attention-benchmark,9,causal_attention_q128_kv128_d64_v16_rng,Causal Q128 KV128 D64 V16,q=128 kv=128 d=64 value=16 causal=1,q=128 kv=128 d=64 value=16 causal=1,PASS,150016065,5772986,25.985870223832173,2599,0,software/uartlog/atik_4x4/attn.txt
